state,longitude,latitude,method,index_right,dtname,stname
UttarPradeshMadhyaPradeshRajasthan,80.25,23.55,unconstrained,199,Katni,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.75,23.85,unconstrained,299,Sagar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.85,23.85,unconstrained,299,Sagar,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,79.45,23.85,unconstrained,98,Damoh,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,82.65,24.15,unconstrained,326,Singrauli,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.75,24.25,unconstrained,307,Satna,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.85,24.55,unconstrained,307,Satna,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.15,26.25,unconstrained,150,Gwalior,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,26.25,unconstrained,150,Gwalior,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.75,24.75,unconstrained,239,Mandsaur,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,75.55,22.75,unconstrained,165,Indore,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,78.25,22.75,unconstrained,162,Hoshangabad,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,80.05,22.35,unconstrained,310,Seoni,MADHYA PRADESH
UttarPradeshMadhyaPradeshRajasthan,76.15,22.75,unconstrained,107,Dewas,MADHYA PRADESH
